Datum;Zeitstempel;Treatment;Entscheidung_1;Entscheidung_2;Codierung;Erinnerter_Preis;Angemessenheit;Wahrnehmungskontrast;Konzession;Reaktanz;Validitaetscheck;Angemessenheit_invertiert;Boomerang_Variable;Manipulationscheck_Preis;Manipulationscheck_Validitaet
19.06.2026; 15:03:46;10000;Ablehnung;Ablehnung;0;10000;1;1;1;1;1;5;3;Ja;Nein
19.06.2026; 15:06:43;6000;Ablehnung;Annahme;1;6000;1;5;2;1;3;5;3;Ja;Ja
19.06.2026; 15:09:45;10000;Ablehnung;Ablehnung;0;10000;1;4;3;4;5;5;4,5;Ja;Ja
19.06.2026; 15:09:58;849;Annahme;Nicht benötigt (Direkte Annahme);1;850;4;4;2;1;3;2;1,5;Ja;Ja
19.06.2026; 15:13:06;1500;Ablehnung;Ablehnung;0;1500;2;3;4;2;4;4;3;Ja;Ja
19.06.2026; 15:14:23;8000;Ablehnung;Ablehnung;0;8000;1;4;5;5;3;5;5;Ja;Ja
19.06.2026; 15:18:38;10000;Ablehnung;Annahme;1;10000;1;3;2;2;5;5;3,5;Ja;Ja
19.06.2026; 15:18:55;4000;Ablehnung;Ablehnung;0;4000;3;4;2;1;4;3;2;Ja;Ja
19.06.2026; 15:18:57;1500;Ablehnung;Annahme;1;1500;1;5;3;1;5;5;3;Ja;Ja
19.06.2026; 15:19:24;849;Annahme;Nicht benötigt (Direkte Annahme);1;849;3;4;3;2;3;3;2,5;Ja;Ja
19.06.2026; 15:23:01;10000;Ablehnung;Ablehnung;0;10000;1;3;2;5;2;5;5;Ja;Nein
19.06.2026; 15:23:18;10000;Ablehnung;Ablehnung;0;10000;1;4;3;1;2;5;3;Ja;Nein
19.06.2026; 15:23:21;849;Ablehnung;Ablehnung;0;849;1;1;1;1;5;5;3;Ja;Ja
19.06.2026; 15:26:01;8000;Ablehnung;Ablehnung;0;8000;1;4;2;5;4;5;5;Ja;Ja
19.06.2026; 15:26:46;10000;Ablehnung;Ablehnung;0;10000;1;1;1;5;1;5;5;Ja;Nein
19.06.2026; 15:32:05;4000;Ablehnung;Ablehnung;0;4000;1;2;4;5;4;5;5;Ja;Ja
19.06.2026; 15:32:27;1500;Ablehnung;Ablehnung;0;1500;1;3;2;5;4;5;5;Ja;Ja
19.06.2026; 15:32:51;10000;Ablehnung;Ablehnung;0;10000;1;3;2;5;3;5;5;Ja;Ja
19.06.2026; 15:36:50;8000;Ablehnung;Ablehnung;0;8000;1;3;4;4;4;5;4,5;Ja;Ja
19.06.2026; 15:36:53;8000;Ablehnung;Ablehnung;0;8000;1;2;2;5;3;5;5;Ja;Ja
19.06.2026; 15:38:57;8000;Ablehnung;Ablehnung;0;8000;1;1;1;4;2;5;4,5;Ja;Nein
19.06.2026; 15:39:35;1500;Ablehnung;Ablehnung;0;1500;1;4;5;3;5;5;4;Ja;Ja
19.06.2026; 15:39:54;849;Ablehnung;Ablehnung;0;849;2;2;2;3;2;4;3,5;Ja;Nein
19.06.2026; 15:44:12;10000;Ablehnung;Annahme;1;10000;1;4;1;1;2;5;3;Ja;Nein
19.06.2026; 15:44:55;6000;Ablehnung;Ablehnung;0;6000;1;3;4;5;5;5;5;Ja;Ja
19.06.2026; 15:44:59;849;Ablehnung;Ablehnung;0;849;2;2;3;3;4;4;3,5;Ja;Ja
19.06.2026; 16:00:35;8000;Ablehnung;Ablehnung;0;8000;1;4;3;5;4;5;5;Ja;Ja
19.06.2026; 16:00:45;4000;Ablehnung;Ablehnung;0;4000;1;3;3;4;5;5;4,5;Ja;Ja
19.06.2026; 16:03:31;8000;Ablehnung;Ablehnung;0;8000;1;1;1;3;3;5;4;Ja;Ja
19.06.2026; 16:04:19;849;Ablehnung;Ablehnung;0;849;2;2;1;5;5;4;4,5;Ja;Ja
19.06.2026; 16:06:50;8000;Ablehnung;Ablehnung;0;8000;1;2;1;5;4;5;5;Ja;Ja
19.06.2026; 16:06:53;10000;Ablehnung;Ablehnung;0;10000;2;3;4;2;5;4;3;Ja;Ja
19.06.2026; 16:07:40;4000;Ablehnung;Ablehnung;0;4000;1;4;2;2;4;5;3,5;Ja;Ja
19.06.2026; 16:08:29;849;Ablehnung;Ablehnung;0;849;1;1;1;1;4;5;3;Ja;Ja
19.06.2026; 16:11:26;849;Ablehnung;Ablehnung;0;849;2;2;1;2;4;4;3;Ja;Ja
19.06.2026; 16:11:37;1500;Ablehnung;Annahme;1;1500;2;5;4;3;5;4;3,5;Ja;Ja
19.06.2026; 16:13:58;6000;Ablehnung;Annahme;1;6000;1;4;3;2;3;5;3,5;Ja;Ja
19.06.2026; 16:14:35;10000;Ablehnung;Ablehnung;0;10000;1;2;2;4;4;5;4,5;Ja;Ja
19.06.2026; 16:17:14;849;Ablehnung;Ablehnung;0;849;2;2;3;3;4;4;3,5;Ja;Ja
19.06.2026; 16:18:26;10000;Ablehnung;Ablehnung;0;10000;1;3;2;2;5;5;3,5;Ja;Ja
19.06.2026; 16:22:14;849;Ablehnung;Ablehnung;0;849;2;1;2;3;3;4;3,5;Ja;Ja
19.06.2026; 16:24:08;6000;Ablehnung;Ablehnung;0;6000;1;2;2;4;3;5;4,5;Ja;Ja
19.06.2026; 16:28:27;10000;Ablehnung;Ablehnung;0;10000;1;3;1;3;1;5;4;Ja;Nein
19.06.2026; 16:28:29;849;Ablehnung;Ablehnung;0;849;1;1;1;3;3;5;4;Ja;Ja
19.06.2026; 16:29:05;10000;Ablehnung;Annahme;1;10000;1;3;3;2;5;5;3,5;Ja;Ja
19.06.2026; 16:31:01;4000;Ablehnung;Ablehnung;0;4000;1;1;2;5;5;5;5;Ja;Ja
19.06.2026; 16:31:55;849;Ablehnung;Ablehnung;0;849;3;4;3;4;5;3;3,5;Ja;Ja
19.06.2026; 16:31:57;4000;Ablehnung;Ablehnung;0;4000;1;2;2;5;1;5;5;Ja;Nein
19.06.2026; 16:32:06;8000;Ablehnung;Annahme;1;8000;1;3;3;3;5;5;4;Ja;Ja
19.06.2026; 16:36:04;4000;Ablehnung;Annahme;1;4000;3;4;4;1;2;3;2;Ja;Nein
19.06.2026; 16:36:27;1500;Ablehnung;Ablehnung;0;1500;2;4;1;5;5;4;4,5;Ja;Ja
19.06.2026; 16:43:41;1500;Ablehnung;Ablehnung;0;1500;2;3;2;2;5;4;3;Ja;Ja
19.06.2026; 16:46:29;8000;Ablehnung;Ablehnung;0;8000;1;2;2;5;5;5;5;Ja;Ja
19.06.2026; 16:55:57;6000;Ablehnung;Ablehnung;0;6000;1;2;3;2;4;5;3,5;Ja;Ja
19.06.2026; 16:56:15;4000;Ablehnung;Ablehnung;0;4000;1;3;5;3;3;5;4;Ja;Ja
19.06.2026; 16:59:10;4000;Ablehnung;Ablehnung;0;4000;1;4;2;5;5;5;5;Ja;Ja
19.06.2026; 17:00:05;6000;Ablehnung;Annahme;1;6000;1;4;5;4;4;5;4,5;Ja;Ja
19.06.2026; 17:00:07;4000;Ablehnung;Ablehnung;0;4000;1;3;2;5;2;5;5;Ja;Nein
19.06.2026; 17:05:45;6000;Ablehnung;Ablehnung;0;6000;1;3;1;4;5;5;4,5;Ja;Ja
19.06.2026; 17:11:47;10000;Ablehnung;Ablehnung;0;1000;2;3;3;1;5;4;2,5;Nein;Ja
19.06.2026; 17:11:56;8000;Ablehnung;Ablehnung;0;8000;1;2;2;5;5;5;5;Ja;Ja
19.06.2026; 17:12:13;8000;Ablehnung;Annahme;1;8000;1;3;3;5;5;5;5;Ja;Ja
19.06.2026; 17:12:16;10000;Ablehnung;Ablehnung;0;10000;1;2;4;4;4;5;4,5;Ja;Ja
19.06.2026; 17:14:26;10000;Ablehnung;Ablehnung;0;10000;1;1;2;4;1;5;4,5;Ja;Nein
19.06.2026; 17:14:50;6000;Ablehnung;Ablehnung;0;6000;1;3;2;4;4;5;4,5;Ja;Ja
19.06.2026; 17:15:45;4000;Ablehnung;Annahme;1;4000;2;4;4;2;2;4;3;Ja;Nein
19.06.2026; 17:22:15;6000;Ablehnung;Ablehnung;0;6000;1;1;1;4;5;5;4,5;Ja;Ja
19.06.2026; 17:22:17;6000;Ablehnung;Ablehnung;0;6000;1;2;2;4;5;5;4,5;Ja;Ja
19.06.2026; 17:22:23;10000;Ablehnung;Annahme;1;10000;1;4;4;1;3;5;3;Ja;Ja
19.06.2026; 17:22:47;10000;Ablehnung;Ablehnung;0;10000;2;3;2;4;2;4;4;Ja;Nein
19.06.2026; 17:25:48;6000;Ablehnung;Ablehnung;0;6000;1;1;1;1;5;5;3;Ja;Ja
19.06.2026; 17:26:24;1500;Ablehnung;Ablehnung;0;1500;1;1;3;5;5;5;5;Ja;Ja
19.06.2026; 17:28:53;1500;Ablehnung;Ablehnung;0;1500;1;1;1;3;1;5;4;Ja;Nein
19.06.2026; 17:31:32;4000;Ablehnung;Ablehnung;0;4000;1;1;1;2;4;5;3,5;Ja;Ja
19.06.2026; 17:31:47;849;Ablehnung;Ablehnung;0;849;2;1;1;3;4;4;3,5;Ja;Ja
22.06.2026; 14:39:02;8000;Ablehnung;Ablehnung;0;8000;1;3;2;4;1;5;4,5;Ja;Nein
22.06.2026; 14:39:21;6000;Ablehnung;Ablehnung;0;6000;1;3;2;4;5;5;4,5;Ja;Ja
22.06.2026; 14:42:45;8000;Ablehnung;Annahme;1;8000;1;4;2;1;2;5;3;Ja;Nein
22.06.2026; 14:46:22;6000;Ablehnung;Annahme;1;6000;1;3;4;4;4;5;4,5;Ja;Ja
22.06.2026; 14:46:22;8000;Ablehnung;Annahme;1;8000;1;4;2;1;1;5;3;Ja;Nein
22.06.2026; 14:49:24;1500;Ablehnung;Annahme;1;1500;1;4;5;1;3;5;3;Ja;Ja
22.06.2026; 14:49:44;10000;Ablehnung;Ablehnung;0;10000;1;3;4;5;5;5;5;Ja;Ja
22.06.2026; 14:53:23;1500;Ablehnung;Ablehnung;0;1500;1;3;2;5;4;5;5;Ja;Ja
22.06.2026; 14:53:26;6000;Ablehnung;Ablehnung;0;6000;2;2;2;4;4;4;4;Ja;Ja
22.06.2026; 14:56:06;6000;Ablehnung;Ablehnung;0;6000;1;2;3;5;2;5;5;Ja;Nein
22.06.2026; 14:56:17;8000;Ablehnung;Ablehnung;0;8000;1;2;2;3;5;5;4;Ja;Ja
22.06.2026; 14:56:39;4000;Ablehnung;Ablehnung;0;4000;5;2;4;3;4;1;2;Ja;Ja
22.06.2026; 14:59:26;849;Ablehnung;Ablehnung;0;849;3;2;2;4;4;3;3,5;Ja;Ja
22.06.2026; 15:02:05;6000;Ablehnung;Annahme;1;6000;1;4;3;1;3;5;3;Ja;Ja
22.06.2026; 15:02:46;849;Ablehnung;Ablehnung;0;849;4;3;3;4;3;2;3;Ja;Ja
22.06.2026; 15:06:48;8000;Ablehnung;Ablehnung;0;8000;1;2;2;5;5;5;5;Ja;Ja
22.06.2026; 15:06:52;10000;Ablehnung;Ablehnung;0;10000;4;2;4;5;4;2;3,5;Ja;Ja
22.06.2026; 15:09:35;8000;Ablehnung;Ablehnung;0;8000;3;5;4;1;5;3;2;Ja;Ja
22.06.2026; 15:11:07;849;Ablehnung;Ablehnung;0;849;2;2;4;4;5;4;4;Ja;Ja
22.06.2026; 15:12:38;8000;Ablehnung;Ablehnung;0;8000;1;1;4;4;5;5;4,5;Ja;Ja
22.06.2026; 15:13:26;10000;Ablehnung;Ablehnung;0;10000;1;4;3;1;3;5;3;Ja;Ja
22.06.2026; 15:15:20;10000;Ablehnung;Ablehnung;0;10000;1;1;5;5;1;5;5;Ja;Nein
22.06.2026; 15:16:01;1500;Ablehnung;Ablehnung;0;1500;1;1;2;5;5;5;5;Ja;Ja
22.06.2026; 15:16:14;849;Ablehnung;Ablehnung;0;849;3;2;2;3;5;3;3;Ja;Ja
22.06.2026; 15:19:25;4000;Ablehnung;Annahme;1;4000;1;3;4;1;3;5;3;Ja;Ja
22.06.2026; 15:20:09;8000;Ablehnung;Ablehnung;0;8000;1;2;4;5;2;5;5;Ja;Nein
22.06.2026; 15:22:58;1500;Ablehnung;Annahme;1;1500;2;4;4;2;5;4;3;Ja;Ja
22.06.2026; 15:22:59;8000;Ablehnung;Ablehnung;0;8000;1;2;2;4;5;5;4,5;Ja;Ja
22.06.2026; 15:23:23;6000;Ablehnung;Ablehnung;0;6000;3;4;3;5;4;3;4;Ja;Ja
22.06.2026; 15:24:17;10000;Annahme;Nicht benötigt (Direkte Annahme);;10000;5;1;1;1;5;1;1;Ja;Ja
22.06.2026; 15:30:12;10000;Ablehnung;Ablehnung;0;10000;1;3;2;2;1;5;3,5;Ja;Nein
22.06.2026; 15:30:43;6000;Ablehnung;Ablehnung;0;6000;1;2;1;5;3;5;5;Ja;Ja
22.06.2026; 15:32:51;10000;Ablehnung;Ablehnung;0;10000;1;2;1;4;3;5;4,5;Ja;Ja
22.06.2026; 15:33:29;849;Ablehnung;Ablehnung;0;848;3;3;3;3;3;3;3;Ja;Ja
22.06.2026; 15:39:28;6000;Ablehnung;Ablehnung;0;6000;1;2;2;3;3;5;4;Ja;Ja
22.06.2026; 15:39:30;849;Ablehnung;Ablehnung;0;849;2;2;2;3;5;4;3,5;Ja;Ja
